Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770302318,60,POST,POST /upload,13.333333,0.000000,49,52,53,55,59,63,77,84,97,97,97,188,0,49,53.277293616997184,43.70119999975941,115.71699999967677,259.88829787234044
1770302318,60,,Aggregated,26.777778,0.000000,15,48,49,51,55,59,65,77,97,97,97,379,0,26,29.120576781001198,1.3384999997470004,115.71699999967677,245.32981530343008
1770302319,65,GET,GET /,14.200000,0.000000,3,4,7,8,12,15,18,21,25,25,25,224,0,3,5.795909375022136,1.3384999997470004,30.208399999992253,231.0
1770302319,65,POST,POST /upload,14.100000,0.000000,50,53,56,58,69,77,110,120,120,120,120,221,0,51,56.41465520359639,43.70119999975941,119.11749999990207,259.7782805429864
1770302319,65,,Aggregated,28.300000,0.000000,24,48,50,52,58,69,93,110,120,120,120,445,0,26,30.934657303370248,1.3384999997470004,119.11749999990207,245.2921348314607
1770302320,70,GET,GET /,16.200000,0.000000,3,4,7,9,13,15,36,51,56,56,56,258,0,3,6.446706589163431,1.3384999997470004,55.825199999617325,231.0
1770302320,70,POST,POST /upload,16.400000,0.000000,50,53,56,59,69,93,120,120,120,120,120,257,0,51,56.260494941612166,26.2710000001789,123.06330000001253,259.8093385214008
1770302320,70,,Aggregated,32.600000,0.000000,44,48,50,52,59,69,98,120,120,120,120,515,0,44,31.30523786407474,1.3384999997470004,123.06330000001253,245.3766990291262
1770302321,75,GET,GET /,18.700000,0.000000,3,4,6,8,11,15,25,51,56,56,56,300,0,3,6.046664333354481,1.219900000251073,55.825199999617325,231.0
1770302321,75,POST,POST /upload,18.100000,0.000000,50,52,55,56,68,84,120,120,120,120,120,298,0,50,55.45026174495158,26.2710000001789,123.06330000001253,259.78859060402687
1770302321,75,,Aggregated,36.800000,0.000000,44,48,50,51,56,68,97,120,120,120,120,598,0,36,30.6658483277624,1.219900000251073,123.06330000001253,245.34615384615384
1770302322,80,GET,GET /,21.200000,0.000000,3,4,5,7,11,13,25,51,56,56,56,339,0,3,5.789466961664335,1.219900000251073,55.825199999617325,231.0
1770302322,80,POST,POST /upload,21.000000,0.000000,49,52,54,56,67,77,120,120,120,120,120,338,0,50,54.63849023666916,26.2710000001789,123.06330000001253,259.81360946745565
1770302322,80,,Aggregated,42.200000,0.000000,44,48,49,51,56,67,93,120,120,120,120,677,0,44,30.17790103397103,1.219900000251073,123.06330000001253,245.38552437223044
1770302323,85,GET,GET /,23.900000,0.000000,3,4,5,6,10,13,24,49,56,56,56,382,0,3,5.493765968598315,1.219900000251073,55.825199999617325,231.0
1770302323,85,POST,POST /upload,23.600000,0.000000,49,52,54,56,65,75,110,120,120,120,120,379,0,49,54.12891820578855,26.2710000001789,123.06330000001253,259.77836411609496
1770302323,85,,Aggregated,47.500000,0.000000,44,48,49,51,56,65,84,110,120,120,120,761,0,36,29.71547779237637,1.219900000251073,123.06330000001253,245.33245729303547
1770302324,90,GET,GET /,26.500000,0.000000,3,4,5,6,10,13,24,49,56,56,56,424,0,3,5.298723820770938,1.219900000251073,55.825199999617325,231.0
1770302324,90,POST,POST /upload,26.300000,0.000000,49,52,53,55,62,72,110,120,120,120,120,422,0,49,53.57389573458569,26.2710000001789,123.06330000001253,259.7843601895735
1770302324,90,,Aggregated,52.800000,0.000000,44,48,49,51,55,62,75,110,120,120,120,846,0,36,29.37924692671636,1.219900000251073,123.06330000001253,245.3581560283688
1770302325,95,GET,GET /,28.900000,0.000000,3,3,4,5,10,12,21,49,56,56,56,478,0,3,5.036230543940113,1.219900000251073,55.825199999617325,231.0
1770302325,95,POST,POST /upload,29.000000,0.000000,49,51,53,55,60,72,110,120,120,120,120,475,0,49,53.05864021051763,26.2710000001789,123.06330000001253,259.80842105263156
1770302325,95,,Aggregated,57.900000,0.000000,44,48,49,50,55,60,74,110,120,120,120,953,0,36,28.971849213010753,1.219900000251073,123.06330000001253,245.3588667366212
1770302326,100,GET,GET /,31.400000,0.000000,3,3,4,5,10,12,21,49,56,56,56,522,0,3,4.907438697327404,1.219900000251073,55.825199999617325,231.0
1770302326,100,POST,POST /upload,31.400000,0.000000,49,51,53,55,60,71,110,120,120,120,120,520,0,49,52.76477423076183,26.2710000001789,123.06330000001253,259.7846153846154
1770302326,100,,Aggregated,62.800000,0.000000,44,48,49,50,55,60,73,110,120,120,120,1042,0,36,28.79017811900293,1.219900000251073,123.06330000001253,245.36468330134358
1770302327,105,GET,GET /,33.600000,0.000000,3,3,4,5,9,12,19,36,56,56,56,577,0,3,4.750060658584303,1.1173999996572093,55.825199999617325,231.0
1770302327,105,POST,POST /upload,33.100000,0.000000,49,51,53,54,59,69,100,120,120,120,120,574,0,49,52.485858536577005,26.2710000001789,123.06330000001253,259.8048780487805
1770302327,105,,Aggregated,66.700000,0.000000,44,48,49,50,54,59,72,100,120,120,120,1151,0,36,28.555749609034187,1.1173999996572093,123.06330000001253,245.36490008688097
1770302328,110,GET,GET /,36.500000,0.000000,3,3,4,5,8,11,17,36,56,56,56,632,0,3,4.726476582282465,1.1173999996572093,55.825199999617325,231.0
1770302328,110,POST,POST /upload,35.800000,0.000000,49,51,53,54,58,67,100,120,120,120,120,628,0,49,52.31267547769979,26.2710000001789,123.06330000001253,259.765923566879
1770302328,110,,Aggregated,72.300000,0.000000,44,48,49,50,54,58,69,100,120,120,120,1260,0,30,28.44404238095078,1.1173999996572093,123.06330000001253,245.3373015873016
1770302329,115,GET,GET /,38.700000,0.000000,3,3,4,4,7,10,12,14,18,18,18,683,0,3,4.602869546123501,1.1173999996572093,55.825199999617325,231.0
1770302329,115,POST,POST /upload,38.300000,0.000000,49,50,52,53,55,57,59,61,69,69,69,678,0,49,52.06819690264622,26.2710000001789,123.06330000001253,259.783185840708
1770302329,115,,Aggregated,77.000000,0.000000,17,48,49,49,53,55,58,59,69,69,69,1361,0,30,28.248344893458107,1.1173999996572093,123.06330000001253,245.33872152828803
1770302330,120,GET,GET /,42.000000,0.000000,3,3,3,4,7,10,13,16,21,21,21,747,0,3,4.554690361451632,1.1173999996572093,55.825199999617325,231.0
1770302330,120,POST,POST /upload,41.200000,0.000000,48,50,51,52,55,57,59,61,69,69,69,741,0,49,51.915015519559425,26.2710000001789,123.06330000001253,259.7732793522267
1770302330,120,,Aggregated,83.200000,0.000000,18,48,48,49,52,55,58,59,69,69,69,1488,0,28,28.139368413977078,1.1173999996572093,123.06330000001253,245.32862903225808
1770302331,125,GET,GET /,44.100000,0.000000,2,3,3,4,7,10,12,16,21,21,21,806,0,3,4.408838213409172,1.1173999996572093,55.825199999617325,231.0
1770302331,125,POST,POST /upload,44.200000,0.000000,48,50,51,52,55,57,59,61,69,69,69,803,0,49,51.70295118305393,26.2710000001789,123.06330000001253,259.79078455790784
1770302331,125,,Aggregated,88.300000,0.000000,21,48,48,49,52,55,58,59,69,69,69,1609,0,36,28.011804474829173,1.1173999996572093,123.06330000001253,245.36855189558733
1770302332,130,GET,GET /,46.100000,0.000000,2,3,3,4,7,11,13,15,21,21,21,871,0,3,4.366193111372431,1.1173999996572093,55.825199999617325,231.0
