Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1770302737,45,,Aggregated,24.000000,0.000000,7,13,45,45,47,49,50,50,51,51,51,255,0,7,19.069272156871996,1.4912999999978638,50.69779999985258,185.66666666666666
1770302738,50,GET,GET /,8.714286,0.000000,4,7,8,8,10,12,13,14,14,14,14,97,0,4,6.000663917507389,1.5064999997775885,23.39399999982561,235.0
1770302738,50,GET,GET /download/{zip},8.714286,0.000000,3,4,4,5,6,8,9,10,10,10,10,97,0,3,4.483001030949549,1.4912999999978638,23.335100000167586,224.0
1770302738,50,POST,POST /upload,8.714286,0.000000,46,47,47,48,49,50,51,51,51,51,51,97,0,46,46.330895876297326,42.686500000399974,50.69779999985258,98.0
1770302738,50,,Aggregated,26.142857,0.000000,6,13,45,45,47,49,50,50,51,51,51,291,0,7,18.938186941584757,1.4912999999978638,50.69779999985258,185.66666666666666
1770302739,55,GET,GET /,9.375000,0.000000,3,7,8,8,11,12,13,13,14,14,14,119,0,4,5.726809243689419,1.5064999997775885,23.39399999982561,235.0
1770302739,55,GET,GET /download/{zip},9.250000,0.000000,3,4,5,5,6,8,9,9,10,10,10,117,0,3,4.314473504288418,1.4912999999978638,23.335100000167586,224.0
1770302739,55,POST,POST /upload,9.250000,0.000000,46,47,48,48,50,59,62,62,63,63,63,117,0,46,46.93400000001525,42.39509999979418,63.09469999996509,98.0
1770302739,55,,Aggregated,27.875000,0.000000,6,13,45,45,47,49,51,62,63,63,63,353,0,7,18.916605382443542,1.4912999999978638,63.09469999996509,185.94617563739376
1770302740,60,GET,GET /,10.444444,0.000000,3,6,7,8,10,12,13,13,14,14,14,142,0,3,5.441618309846554,1.216999999996915,23.39399999982561,235.0
1770302740,60,GET,GET /download/{zip},10.444444,0.000000,3,4,4,5,6,7,9,9,10,10,10,138,0,3,4.092564492760874,1.4912999999978638,23.335100000167586,224.0
1770302740,60,POST,POST /upload,10.444444,0.000000,46,47,47,48,50,51,62,62,63,63,63,138,0,46,46.66527971014899,42.39509999979418,63.09469999996509,98.0
1770302740,60,,Aggregated,31.333333,0.000000,5,13,45,45,47,48,50,62,63,63,63,418,0,6,18.60596244019084,1.216999999996915,63.09469999996509,186.13875598086125
1770302741,65,GET,GET /,10.800000,0.000000,3,5,7,7,10,12,13,13,14,14,14,162,0,3,5.2943456790015055,1.216999999996915,23.39399999982561,235.0
1770302741,65,GET,GET /download/{zip},10.600000,0.000000,3,4,4,5,6,7,9,9,10,10,10,162,0,3,4.066254938278588,1.4912999999978638,23.335100000167586,224.0
1770302741,65,POST,POST /upload,10.600000,0.000000,46,46,47,48,49,50,62,62,63,63,63,162,0,46,46.51818271605003,42.39509999979418,63.09469999996509,98.0
1770302741,65,,Aggregated,32.000000,0.000000,5,13,45,45,47,48,50,61,63,63,63,486,0,6,18.62626111111004,1.216999999996915,63.09469999996509,185.66666666666666
1770302742,70,GET,GET /,12.500000,0.000000,3,4,7,7,10,11,12,13,14,14,14,186,0,3,5.116470967736223,1.216999999996915,23.39399999982561,235.0
1770302742,70,GET,GET /download/{zip},12.400000,0.000000,3,3,4,4,5,7,7,8,8,8,8,185,0,3,3.824172972975715,1.4651999999841792,23.335100000167586,224.0
1770302742,70,POST,POST /upload,12.400000,0.000000,46,46,47,47,49,50,62,62,63,63,63,186,0,46,46.30124892473368,42.319099999986065,63.09469999996509,98.0
1770302742,70,,Aggregated,37.300000,0.000000,4,13,44,45,47,48,50,61,63,63,63,557,0,5,18.440157809694632,1.216999999996915,63.09469999996509,185.59784560143626
