Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,11802,1,3,3.5669888747672394,0.8649999999761349,79.04579999967609,234.9800881206575,98.66354593244527,0.008359900519610683,3,3,4,4,6,9,14,20,62,74,79
GET,GET /download/{zip},11797,0,4,5.186596905991042,1.2063999997735664,192.45150000006106,224.0,98.62174642984722,0.0,4,5,5,6,8,11,19,36,150,190,190
POST,POST /upload,11801,0,46,47.074018295058266,9.477000000060798,151.30379999982324,98.0,98.65518603192567,0.0,46,47,48,49,50,52,55,68,110,140,150
,Aggregated,35400,1,5,18.61029311581824,0.8649999999761349,192.45150000006106,185.65709039548022,295.9404783942182,0.008359900519610683,5,25,45,46,48,50,52,54,120,170,190
