Framework,VCPU,Concurrency,Run,PDF_SET,RPS,P50_ms,P95_ms,P99_ms,ErrorRate,TTA_ms,CPU_Usage,RAM_MB
node,4,350,2,small,7.5513,12000,40000,78000,3.8945,1.5734,38799,4521
node,4,350,3,small,9.1806,8400,37000,63000,7.4799,0.4816,19292,208
node,4,350,4,small,8.2499,13000,47000,77000,6.1093,0.4625,21,1934
node,4,350,5,small,25.7718,2200,4400,8300,0.0,0.1649,39502,5485
python,4,350,1,small,9.624,4200,50000,51000,0.0,0.0,133,5595
python,4,350,2,small,8.2305,2700,52000,53000,0.3442,38.313,135,500
python,4,350,3,small,14.8095,2600,28000,28000,0.0,44.6158,1871,575
python,4,350,4,small,3.0421,7600,94000,264000,7.3579,65.7876,109,6714
python,4,350,5,small,5.5759,43000,191000,211000,12.0125,6113.4009,252,5635
node,4,400,1,small,28.1241,2900,11000,22000,16.4692,1.1139,30047,1056768
node,4,400,2,small,26.3468,3600,14000,17000,11.1203,0.1858,8,1108992
node,4,400,3,small,32.9648,2300,13000,17000,7.2178,0.2342,33,1024
node,4,400,4,small,22.8928,2100,7100,10000,0.0,0.3496,39347,7833
node,4,400,5,small,33.3085,2100,4700,9400,0.0,0.239,39731,2419
python,4,400,1,small,6.4112,5600,82000,98000,8.901,430.5583,146,6444
python,4,400,2,small,3.754,12000,181000,251000,6.3765,4595.8036,136,6011
python,4,400,3,small,8.7123,43000,51000,55000,7.8947,68.4873,126,4291
python,4,400,4,small,5.8559,2100,136000,138000,9.0119,67.2208,4279,5473
python,4,400,5,small,5.864,5800,143000,154000,4.2328,9918.9087,135,5865
node,4,450,1,small,35.3743,2700,6200,15000,0.0,0.1781,29573,3046
node,4,450,2,small,48.3785,5100,12000,24000,17.9421,0.3979,9944,769
node,4,450,3,small,37.8811,2300,4900,11000,0.0,0.3592,20165,9147
node,4,450,4,small,0.3468,3900,2189000,2190000,4.2802,0.1846,50273,2087936
node,4,450,5,small,33.7809,2100,6100,15000,0.0,0.1674,30314,3161
python,4,450,1,small,3.9841,52000,170000,189000,0.1156,1735.8545,3835,6307
python,4,450,2,small,3.9248,3900,144000,170000,7.0545,292.801,2584,6358
python,4,450,3,small,16.7063,5100,31000,33000,2.9231,71.0823,111,597
python,4,450,4,small,5.8303,4400,104000,144000,4.8117,1395.1054,115,6974
python,4,450,5,small,13.8587,12000,46000,47000,9.2,11.784,134,4827
node,4,500,1,small,40.3882,2600,9700,13000,4.9383,0.2025,17228,2637
node,4,500,2,small,41.8406,1800,6000,11000,20.2296,0.2702,9537,3189
node,4,500,3,small,36.4073,1900,8300,12000,0.1727,0.1182,20969,2901
node,4,500,4,small,33.3231,1900,5000,13000,0.0,2.8894,40094,2434
node,4,500,5,small,31.7461,2400,5000,9100,0.0,0.1174,2151,7535
python,4,500,1,small,3.8625,29000,192000,194000,2.6995,14.557,2427,7035
python,4,500,2,small,4.7575,49000,116000,140000,7.1142,92.3269,259,5883
python,4,500,3,small,6.9571,7600,111000,111000,7.461,0.0,259,4502
python,4,500,4,small,4.385,43000,148000,150000,0.1269,0.0,3161,6471
python,4,500,5,small,9.6918,3300,45000,46000,2.1173,90.552,7054,6292
