Framework,VCPU,Concurrency,Metric,N,Mean,Median,Std,Min,Max,CI95_Low,CI95_High,Shapiro_p,UseMedian,OutliersRemoved
node,4,150,RAM_MB,5,5617.0,4227.0,2517.3837,3482.0,8551.0,2491.2553,8742.7447,0.057433,False,0
node,4,250,RPS,5,16.0528,18.7926,7.9227,7.5453,25.4566,6.2155,25.8901,0.319582,False,0
node,4,250,P50_ms,5,4880.0,4100.0,3262.9741,1400.0,9700.0,828.4825,8931.5175,0.789707,False,0
node,4,250,P95_ms,5,32160.0,19000.0,30022.1252,5800.0,82000.0,-5117.392,69437.392,0.205918,False,0
node,4,250,P99_ms,5,47400.0,27000.0,34370.0451,23000.0,102000.0,4723.9524,90076.0476,0.079225,False,0
node,4,250,ErrorRate,5,5.9368,8.1344,4.326,0.0,10.2703,0.5653,11.3083,0.38143,False,0
node,4,250,TTA_ms,4,0.3068,0.3018,0.1008,0.2061,0.4173,0.1463,0.4672,0.467233,False,1
node,4,250,CPU_Usage,5,37215.0,28732.0,35990.2748,151.0,97245.0,-7472.8285,81902.8285,0.190023,False,0
node,4,250,RAM_MB,5,469375.2,9174.0,635338.246,2852.0,1174528.0,-319501.4268,1258251.8268,0.007814,True,0
node,4,300,RPS,4,24.5939,24.3986,1.501,22.9839,26.5943,22.2055,26.9823,0.798857,False,1
node,4,300,P50_ms,5,2140.0,2100.0,585.662,1400.0,2900.0,1412.8046,2867.1954,0.982349,False,0
node,4,300,P95_ms,4,7775.0,7000.0,4852.0614,3100.0,14000.0,54.2875,15495.7125,0.714047,False,1
node,4,300,P99_ms,4,13975.0,12500.0,8238.2745,5900.0,25000.0,866.0669,27083.9331,0.759578,False,1
node,4,300,ErrorRate,5,4.1152,4.1298,4.2918,0.0,9.9635,-1.2138,9.4441,0.465721,False,0
node,4,300,TTA_ms,3,0.2283,0.2218,0.0121,0.2208,0.2423,0.1982,0.2584,0.078717,False,2
node,4,300,CPU_Usage,5,38913.0,39596.0,1756.5196,36706.0,40748.0,36731.9929,41094.0071,0.410823,False,0
node,4,300,RAM_MB,5,709384.0,3692.0,970620.9365,2848.0,1890304.0,-495801.0728,1914569.0728,0.016555,True,0
node,4,350,RPS,5,10.3563,8.2499,9.197,1.028,25.7718,-1.0633,21.776,0.159625,False,0
node,4,350,P50_ms,5,7840.0,8400.0,4848.5049,2200.0,13000.0,1819.786,13860.214,0.41656,False,0
node,4,350,P95_ms,4,32100.0,38500.0,18936.0327,4400.0,47000.0,1968.5464,62231.4536,0.153243,False,1
node,4,350,P99_ms,4,56575.0,70000.0,32903.7359,8300.0,78000.0,4217.8137,108932.1863,0.066761,False,1
node,4,350,ErrorRate,5,4.3418,4.2254,2.83,0.0,7.4799,0.8279,7.8558,0.710706,False,0
node,4,350,TTA_ms,4,0.3364,0.3496,0.1595,0.1649,0.4816,0.0825,0.5903,0.236517,False,1
node,4,350,CPU_Usage,5,21519.4,19292.0,17479.9136,21.0,39502.0,-184.7794,43223.5794,0.418908,False,0
node,4,350,RAM_MB,4,3037.0,3227.5,2409.3436,208.0,5485.0,-796.8033,6870.8033,0.685853,False,1
node,4,400,RPS,5,28.7274,28.1241,4.4445,22.8928,33.3085,23.2088,34.246,0.521477,False,0
node,4,400,P50_ms,5,2600.0,2300.0,648.0741,2100.0,3600.0,1795.3098,3404.6902,0.173338,False,0
node,4,400,P95_ms,5,9960.0,11000.0,3952.5941,4700.0,14000.0,5052.2062,14867.7938,0.566262,False,0
node,4,400,P99_ms,5,15080.0,17000.0,5322.7812,9400.0,22000.0,8470.8942,21689.1058,0.376159,False,0
node,4,400,ErrorRate,5,6.9615,7.2178,7.1534,0.0,16.4692,-1.9206,15.8435,0.45356,False,0
